reference_date,target,location,output_type,output_type_id,value
2026-05-23,cumulative cases,CD,quantile,0.025,617
2026-05-23,cumulative cases,CD,quantile,0.1,829
2026-05-23,cumulative cases,CD,quantile,0.25,1037
2026-05-23,cumulative cases,CD,quantile,0.5,1391
2026-05-23,cumulative cases,CD,quantile,0.75,1840
2026-05-23,cumulative cases,CD,quantile,0.9,2495
2026-05-23,cumulative cases,CD,quantile,0.975,3946
2026-05-23,cumulative cases,CD,median,NA,1391
2026-05-23,cumulative cases,CD,mean,NA,1620
