reference_date,target,location,output_type,output_type_id,value
2026-06-13,cumulative cases,CD,quantile,0.025,1523
2026-06-13,cumulative cases,CD,quantile,0.1,1877
2026-06-13,cumulative cases,CD,quantile,0.25,2186
2026-06-13,cumulative cases,CD,quantile,0.5,2760
2026-06-13,cumulative cases,CD,quantile,0.75,3561
2026-06-13,cumulative cases,CD,quantile,0.9,4768
2026-06-13,cumulative cases,CD,quantile,0.975,6336
2026-06-13,cumulative cases,CD,median,NA,2760
2026-06-13,cumulative cases,CD,mean,NA,3071
